id,x,y,z,r,g,b
1280,322.41,44.55,0,97,94,95
1280,377.19,44.55,0,65,82,93
1280,377.52,44.55,0,76,85,95
1280,377.85,44.55,0,81,87,94
1280,378.51,44.55,0,81,93,93
1280,378.84,44.55,0,91,96,94
1280,379.17,44.55,0,69,84,85
1280,379.83,44.55,0,85,94,89
1280,380.16,44.55,0,111,112,101
1280,380.82,44.55,0,120,115,104
1280,381.15,44.55,0,109,105,95
1280,381.81,44.55,0,90,99,82
1280,382.8,44.55,0,123,120,99
1280,383.13,44.55,0,125,119,101
1280,384.78,44.55,0,117,107,91
1280,385.11,44.55,0,121,113,96
1280,387.09,44.55,0,124,111,90
1280,388.74,44.55,0,135,121,109
1280,390.06,44.55,0,122,118,86
1280,390.39,44.55,0,112,104,88
1280,390.72,44.55,0,111,100,92
1280,391.05,44.55,0,119,113,94
1280,392.04,44.55,0,146,129,110
1280,392.37,44.55,0,130,116,100
1280,392.7,44.55,0,135,118,105
1280,397.98,44.55,0,137,122,96
1280,399.63,44.55,0,112,101,93
1280,399.96,44.55,0,115,110,94
1280,400.29,44.55,0,122,109,102
1280,400.62,44.55,0,117,102,97
1280,400.95,44.55,0,117,107,100
1280,401.28,44.55,0,134,121,110
1280,406.23,44.55,0,109,100,79
1280,407.22,44.55,0,103,102,79
1280,407.55,44.55,0,120,115,95
1280,408.21,44.55,0,102,105,75
1280,408.54,44.55,0,82,83,79
1280,410.52,44.55,0,75,74,75
1280,410.85,44.55,0,88,85,84
1280,411.84,44.55,0,79,82,85
1280,412.17,44.55,0,94,90,92
1280,412.5,44.55,0,88,85,90
1280,412.83,44.55,0,64,68,71
1280,415.47,44.55,0,55,72,83
1280,415.8,44.55,0,60,80,85
1280,416.79,44.55,0,67,74,87
1280,417.12,44.55,0,62,72,85
1280,277.2,44.88,0,48,74,82
1280,277.53,44.88,0,56,82,94
1280,277.86,44.88,0,60,88,94
1280,278.19,44.88,0,57,84,93
1280,278.52,44.88,0,60,88,93
1280,283.8,44.88,0,89,96,99
1280,284.13,44.88,0,75,86,84
1280,284.46,44.88,0,73,83,89
1280,284.79,44.88,0,79,82,86
1280,285.12,44.88,0,71,83,86
1280,285.45,44.88,0,93,101,106
1280,285.78,44.88,0,106,110,107
1280,287.1,44.88,0,101,99,101
1280,287.43,44.88,0,116,111,110
1280,287.76,44.88,0,101,98,92
1280,288.42,44.88,0,94,90,84
1280,288.75,44.88,0,102,100,90
1280,289.08,44.88,0,114,111,97
1280,289.41,44.88,0,110,106,87
1280,289.74,44.88,0,91,86,80
1280,290.07,44.88,0,89,83,78
1280,290.4,44.88,0,102,92,82
1280,290.73,44.88,0,105,95,91
1280,291.06,44.88,0,106,95,96
1280,291.39,44.88,0,111,99,93
1280,291.72,44.88,0,109,93,90
1280,292.05,44.88,0,109,97,94
1280,292.38,44.88,0,101,94,91
1280,292.71,44.88,0,93,89,80
1280,293.04,44.88,0,105,97,94
1280,293.37,44.88,0,111,104,98
1280,293.7,44.88,0,114,106,102
1280,294.03,44.88,0,120,111,107
1280,294.36,44.88,0,124,114,108
1280,295.02,44.88,0,132,120,104
1280,295.68,44.88,0,135,118,106
1280,296.01,44.88,0,125,108,93
1280,296.34,44.88,0,120,103,94
1280,296.67,44.88,0,122,110,101
1280,297.0,44.88,0,124,114,103
1280,301.95,44.88,0,117,99,90
1280,313.17,44.88,0,134,113,91
1280,317.13,44.88,0,147,137,104
1280,318.12,44.88,0,132,117,89
1280,321.09,44.88,0,110,102,93
1280,321.42,44.88,0,118,104,99
1280,321.75,44.88,0,120,103,96
1280,322.08,44.88,0,106,96,82
1280,322.74,44.88,0,104,108,84
1280,323.07,44.88,0,118,117,100
1280,323.4,44.88,0,95,97,81
1280,326.37,44.88,0,86,96,95
1280,326.7,44.88,0,95,102,96
1280,327.03,44.88,0,73,90,91
1280,372.57,44.88,0,69,90,92
1280,372.9,44.88,0,85,89,93
1280,373.23,44.88,0,74,79,85
1280,374.55,44.88,0,81,85,96
1280,374.88,44.88,0,82,87,93
1280,375.21,44.88,0,75,82,85
1280,377.19,44.88,0,86,105,92
1280,378.18,44.88,0,105,103,94
1280,379.17,44.88,0,98,101,83
1280,379.83,44.88,0,100,103,92
1280,381.15,44.88,0,128,120,94
1280,381.48,44.88,0,111,102,88
1280,381.81,44.88,0,113,101,93
1280,387.09,44.88,0,148,129,110
1280,387.42,44.88,0,134,115,96
1280,387.75,44.88,0,133,116,97
1280,388.41,44.88,0,138,123,104
1280,406.23,44.88,0,131,109,91
1280,406.56,44.88,0,127,97,86
1280,406.89,44.88,0,123,97,86
1280,407.22,44.88,0,127,102,87
1280,408.87,44.88,0,114,98,82
1280,409.2,44.88,0,97,83,76
1280,409.53,44.88,0,93,83,79
1280,409.86,44.88,0,99,83,80
1280,410.19,44.88,0,99,83,81
1280,410.52,44.88,0,113,101,93
1280,411.18,44.88,0,121,107,88
1280,411.51,44.88,0,101,91,77
1280,412.83,44.88,0,96,90,76
1280,413.16,44.88,0,75,74,66
1280,413.49,44.88,0,94,90,74
1280,413.82,44.88,0,82,80,67
1280,414.81,44.88,0,75,76,79
1280,415.14,44.88,0,101,98,99
1280,416.13,44.88,0,107,106,96
1280,416.46,44.88,0,120,113,103
1280,417.45,44.88,0,101,102,96
1280,417.78,44.88,0,71,76,84
1280,277.2,45.21,0,61,85,90
1280,283.47,45.21,0,77,87,78
1280,283.8,45.21,0,108,112,82
1280,285.45,45.21,0,120,119,95
1280,285.78,45.21,0,128,126,97
1280,286.11,45.21,0,99,102,76
1280,286.77,45.21,0,102,95,93
1280,287.1,45.21,0,119,115,96
1280,287.76,45.21,0,128,124,93
1280,288.09,45.21,0,113,101,86
1280,288.42,45.21,0,122,105,94
1280,320.76,45.21,0,142,126,103
1280,323.4,45.21,0,136,121,104
1280,323.73,45.21,0,124,106,91
1280,324.06,45.21,0,103,92,78
1280,324.39,45.21,0,102,89,80
1280,324.72,45.21,0,102,97,90
1280,325.05,45.21,0,108,107,92
1280,325.38,45.21,0,104,102,86
1280,327.36,45.21,0,117,116,115
1280,327.69,45.21,0,100,105,95
1280,328.02,45.21,0,75,87,86
1280,328.35,45.21,0,79,85,94
1280,328.68,45.21,0,80,88,93
1280,329.01,45.21,0,76,86,89
1280,329.34,45.21,0,78,85,94
1280,329.67,45.21,0,76,91,97
1280,330.0,45.21,0,77,92,97
1280,369.27,45.21,0,63,86,92
1280,369.6,45.21,0,62,80,88
1280,369.93,45.21,0,62,79,90
1280,370.26,45.21,0,69,83,98
1280,373.56,45.21,0,110,102,87
1280,373.89,45.21,0,93,92,85
1280,374.22,45.21,0,102,99,97
1280,375.21,45.21,0,108,108,86
1280,375.54,45.21,0,96,99,86
1280,375.87,45.21,0,91,93,87
1280,376.2,45.21,0,98,97,91
1280,376.53,45.21,0,104,109,96
1280,376.86,45.21,0,101,107,89
1280,378.18,45.21,0,114,110,84
1280,378.84,45.21,0,118,105,91
1280,379.5,45.21,0,116,102,91
1280,379.83,45.21,0,126,115,94
1280,411.51,45.21,0,134,110,94
1280,411.84,45.21,0,120,97,83
1280,412.83,45.21,0,109,95,76
1280,414.15,45.21,0,109,94,78
1280,414.48,45.21,0,113,99,86
1280,417.78,45.21,0,103,102,84
1280,418.11,45.21,0,75,81,72
1280,418.44,45.21,0,98,91,82
1280,418.77,45.21,0,94,89,76
1280,419.1,45.21,0,89,81,74
1280,276.87,45.54,0,73,90,91
1280,277.53,45.54,0,77,94,86
1280,279.51,45.54,0,71,79,76
1280,279.84,45.54,0,100,98,86
1280,280.17,45.54,0,106,102,80
1280,280.5,45.54,0,98,97,84
1280,280.83,45.54,0,103,102,87
1280,281.16,45.54,0,88,88,80
1280,281.49,45.54,0,77,77,74
1280,281.82,45.54,0,93,86,76
1280,282.15,45.54,0,92,88,80
1280,282.48,45.54,0,83,82,81
1280,282.81,45.54,0,85,80,84
1280,283.14,45.54,0,90,82,82
1280,283.47,45.54,0,104,92,89
1280,286.11,45.54,0,135,117,101
1280,286.44,45.54,0,122,103,85
1280,286.77,45.54,0,135,120,102
1280,325.71,45.54,0,120,108,99
1280,326.04,45.54,0,116,102,95
1280,326.37,45.54,0,108,96,87
1280,326.7,45.54,0,106,99,86
1280,327.03,45.54,0,120,118,94
1280,330.0,45.54,0,92,103,89
1280,330.66,45.54,0,96,94,101
1280,330.99,45.54,0,99,98,95
1280,331.32,45.54,0,73,86,81
1280,331.65,45.54,0,91,93,101
1280,331.98,45.54,0,88,89,93
1280,365.97,45.54,0,60,78,87
1280,366.3,45.54,0,72,88,91
1280,366.63,45.54,0,76,92,95
1280,366.96,45.54,0,86,92,100
1280,367.29,45.54,0,74,86,88
1280,367.95,45.54,0,72,75,81
1280,368.28,45.54,0,85,84,89
1280,368.61,45.54,0,88,92,93
1280,368.94,45.54,0,106,104,101
1280,370.59,45.54,0,106,108,96
1280,372.9,45.54,0,119,109,92
1280,373.56,45.54,0,133,116,101
1280,374.22,45.54,0,128,120,101
1280,377.19,45.54,0,132,111,96
1280,377.52,45.54,0,138,117,101
1280,378.51,45.54,0,139,119,101
1280,412.17,45.54,0,139,114,98
1280,412.5,45.54,0,135,115,90
1280,412.83,45.54,0,129,103,85
1280,416.79,45.54,0,138,120,99
1280,417.12,45.54,0,125,108,86
1280,419.43,45.54,0,88,82,71
1280,419.76,45.54,0,83,79,72
1280,422.07,45.54,0,73,78,86
1280,422.4,45.54,0,92,91,87
1280,422.73,45.54,0,103,101,95
1280,423.06,45.54,0,86,90,86
1280,423.39,45.54,0,69,85,86
1280,423.72,45.54,0,94,92,97
1280,424.05,45.54,0,69,73,78
1280,424.38,45.54,0,51,62,68
1280,424.71,45.54,0,64,66,72
1280,277.53,45.87,0,95,101,85
1280,278.52,45.87,0,106,94,85
1280,278.85,45.87,0,106,92,84
1280,279.18,45.87,0,107,92,87
1280,279.51,45.87,0,111,98,89
1280,330.0,45.87,0,103,102,85
1280,330.33,45.87,0,103,100,91
1280,330.99,45.87,0,112,115,80
1280,331.65,45.87,0,119,118,99
1280,332.31,45.87,0,110,112,99
1280,332.64,45.87,0,100,102,103
1280,332.97,45.87,0,97,100,99
1280,361.68,45.87,0,63,74,89
1280,362.01,45.87,0,61,74,80
1280,362.34,45.87,0,55,70,81
1280,362.67,45.87,0,69,77,87
1280,363.0,45.87,0,78,84,93
1280,363.33,45.87,0,83,89,93
1280,363.99,45.87,0,80,90,89
1280,364.32,45.87,0,95,94,97
1280,364.65,45.87,0,86,90,85
